n_orders,method,total_distance(km),elapsed_time(s),optimize_rate(%)
5,greedy,192.48,0.0085,-
5,aco,159.20,3.8761,17.29%
5,greedy_then_aco,159.52,3.9755,17.12%
5,greedy_then_mmas,159.20,3.9613,17.29%
10,greedy,250.06,0.0046,-
10,aco,217.92,24.3445,12.85%
10,greedy_then_aco,213.05,24.3355,14.80%
10,greedy_then_mmas,213.05,24.3266,14.80%
20,greedy,340.10,0.0149,-
20,aco,285.75,163.7176,15.98%
20,greedy_then_aco,282.57,164.3565,16.91%
20,greedy_then_mmas,282.57,164.7868,16.91%
30,greedy,426.49,0.0307,-
30,aco,398.08,516.2848,6.66%
30,greedy_then_aco,386.02,519.6359,9.49%
30,greedy_then_mmas,400.44,518.8985,6.11%
40,greedy,529.70,0.0532,-
40,aco,391.78,1189.1922,26.04%
40,greedy_then_aco,408.25,1188.3933,22.93%
40,greedy_then_mmas,425.97,1192.9922,19.58%
50,greedy,614.42,0.0787,-
50,aco,514.22,2315.7941,16.31%
50,greedy_then_aco,491.98,2703.5083,19.93%
50,greedy_then_mmas,492.52,2462.1471,19.84%
