n_orders,method,total_distance(km),elapsed_time(s),optimize_rate(%)
30,greedy,474.64,0.0350,-
30,aco,374.72,1029.1268,21.05%
30,greedy_then_aco,395.19,977.8595,16.74%
30,greedy_then_mmas,370.22,895.4639,22.00%


40,greedy,566.85,0.0841,-
40,aco,466.10,4642.4358,17.77%
40,greedy_then_aco,462.62,2585.9472,18.39%
40,greedy_then_mmas,445.68,2355.0043,21.38%

50,greedy,592.57,0.1096,-
50,aco,495.46,8508.5841,16.39%
50,greedy_then_aco,472.13,5357.2126,20.32%,
50,greedy_then_mmas,457.08,4743.0675,22.86%
 
